CGPA,Coding_Score,Communication_Score,Aptitude_Score,Projects_Count,Certifications_Count,Internship,Placement_Status
7.5,77,52,55,8,4,0,1
8.75,71,77,68,8,4,1,1
9.38,93,88,99,10,6,1,1
5.04,39,48,25,2,1,0,0
5.95,39,57,49,2,3,0,0
7.53,69,78,79,5,6,0,1
8.37,68,80,60,6,4,1,1
9.66,77,63,68,8,5,1,1
8.18,77,95,92,4,6,1,1
9.24,70,62,74,8,6,1,1
5.48,56,44,41,2,4,0,0
9.59,100,85,92,7,7,1,1
7.61,59,65,71,8,4,1,1
6.55,63,49,65,4,1,0,0
5.16,25,25,25,0,1,0,0
7.26,83,86,89,5,5,0,1
8.32,95,84,80,9,5,1,1
5.3,25,34,37,0,1,0,0
7.45,44,48,37,2,4,1,0
5.09,65,62,70,2,1,0,1
9.72,100,89,91,9,7,1,1
6.85,70,48,62,4,3,1,1
9.49,67,78,68,7,6,1,1
8.76,63,73,54,6,8,0,1
8.08,89,57,56,9,4,1,1
8.39,100,61,89,6,3,1,1
6.5,65,30,40,6,2,0,0
6.89,87,25,73,6,2,1,1
6.66,61,25,37,5,2,1,1
7.31,57,39,49,7,4,1,0
8.94,85,63,95,9,7,1,1
6.5,66,60,59,6,2,0,0
6.06,46,55,46,3,3,0,0
9.73,72,90,78,10,7,1,1
6.75,58,64,72,4,4,1,1
5.07,73,63,77,3,2,1,0
7.69,82,57,75,7,3,0,1
7.86,53,51,45,6,5,1,1
8.7,81,83,77,9,5,1,1
9.07,80,100,98,7,7,1,1
6.59,65,77,76,3,4,0,1
6.37,47,46,38,3,3,0,0
6.75,90,54,80,5,2,1,1
8.9,78,86,84,8,6,0,1
9.06,57,52,83,7,5,1,1
6.33,83,76,66,5,6,0,1
9.51,72,47,65,7,4,1,1
7.46,53,43,54,6,2,0,0
7.32,75,87,79,5,5,1,0
9.59,61,77,75,9,7,1,1
9.18,63,69,76,9,6,1,1
9.31,76,68,73,7,7,1,1
8.66,82,89,84,7,6,1,1
5.48,36,65,69,3,1,0,0
7.7,76,72,69,7,6,1,1
8.63,85,100,68,10,8,1,1
6.24,43,47,43,5,3,0,0
9.49,74,100,80,7,8,1,1
5.15,73,72,63,2,2,0,0
8.97,97,78,82,9,5,1,1
6.53,60,34,41,5,2,1,0
5.1,44,39,58,2,3,0,0
7.99,82,67,94,7,4,0,1
8.0,78,100,84,7,6,1,1
6.1,48,66,71,0,3,0,1
7.01,25,58,25,4,3,0,0
8.26,91,89,76,7,5,1,1
5.09,65,46,38,3,1,1,1
8.79,58,63,58,7,4,0,0
7.99,57,74,69,5,6,1,1
7.46,71,95,83,5,6,0,1
7.62,39,53,57,4,3,1,1
9.49,85,99,85,10,8,1,1
8.95,42,60,38,4,5,1,0
6.73,69,64,69,4,3,0,1
7.51,71,45,62,7,4,0,1
9.36,69,95,80,6,7,1,1
7.65,56,51,60,5,4,1,0
5.8,77,25,46,4,0,1,0
9.34,92,79,100,10,5,1,1
5.48,50,75,55,4,4,0,0
7.42,66,55,66,6,4,1,0
9.29,88,99,100,10,7,1,1
5.82,43,56,50,1,1,0,0
6.14,55,73,66,5,1,1,1
7.88,74,68,72,9,4,1,1
7.19,70,75,84,7,3,1,1
7.28,73,74,71,5,8,0,0
5.78,57,64,55,5,3,0,1
8.43,72,69,76,6,4,1,1
5.05,63,29,30,2,1,0,0
7.54,59,90,81,2,4,1,1
6.57,69,96,82,6,5,0,1
9.19,98,73,86,10,4,1,1
7.7,91,75,94,7,6,0,1
6.42,26,36,32,5,2,1,0
9.08,77,100,100,7,5,1,1
9.69,97,77,100,8,4,1,1
8.85,76,64,83,8,6,1,1
5.44,41,42,34,2,3,0,0
7.58,77,36,40,6,3,1,1
7.95,80,82,82,5,7,1,1
6.75,74,67,75,6,4,1,0
6.03,48,65,76,0,5,0,1
9.23,61,93,60,7,7,1,1
5.07,54,47,53,2,2,0,0
7.19,45,82,47,5,5,0,0
8.49,70,42,65,6,5,1,1
7.66,91,89,74,8,5,1,1
6.79,65,37,62,6,1,0,0
6.08,41,31,43,6,1,0,0
7.17,77,42,66,5,4,1,1
5.23,36,60,43,0,3,0,0
7.27,52,48,52,4,3,0,0
9.4,95,100,88,9,7,1,1
6.96,55,57,52,3,4,0,0
5.57,73,67,75,3,1,0,1
9.58,79,96,95,10,6,1,1
7.43,72,69,77,6,5,0,1
5.62,68,64,35,3,4,1,0
8.4,74,89,80,7,5,1,0
5.19,25,37,25,2,1,0,0
5.48,64,39,45,5,2,1,1
8.93,66,94,70,6,8,1,1
7.92,74,83,71,7,5,0,1
5.51,31,64,41,3,2,0,0
9.15,94,63,88,10,7,1,1
6.63,69,38,62,4,4,1,1
7.33,65,70,66,4,5,1,0
6.18,54,90,98,2,5,0,1
6.44,72,58,79,5,4,0,1
9.45,94,57,52,10,6,1,1
7.46,74,85,82,7,5,1,0
8.37,65,83,74,5,7,0,0
7.92,59,85,89,6,6,1,1
5.19,30,25,32,2,2,0,0
8.62,71,85,57,8,5,1,1
6.44,39,34,56,2,2,0,0
7.16,85,69,53,7,5,1,0
6.31,56,79,62,6,5,0,1
5.15,29,70,50,0,3,0,0
5.09,46,58,50,3,3,0,0
6.49,52,55,71,4,3,0,0
8.99,92,86,91,9,6,1,1
7.33,33,75,58,4,5,0,0
8.08,69,81,78,6,6,1,1
5.99,39,50,36,4,2,0,0
7.91,67,63,67,5,4,0,1
7.07,68,47,54,5,3,1,1
8.37,79,55,71,6,5,1,1
7.22,44,52,47,5,3,0,0
6.73,88,75,91,5,4,0,1
6.31,49,82,67,2,4,0,1
5.72,31,40,39,0,2,0,0
9.64,85,82,67,7,7,1,1
5.2,25,47,25,1,1,1,1
9.58,80,40,75,8,7,1,1
7.89,70,70,61,6,5,1,1
6.5,58,41,28,5,2,1,0
9.54,81,74,76,7,6,1,1
8.61,82,100,84,9,5,1,1
6.68,64,89,73,7,4,1,1
7.9,67,51,63,6,4,1,1
8.13,67,89,85,4,5,0,1
9.03,69,70,94,7,5,1,1
7.0,56,77,56,6,4,0,1
5.48,61,25,43,3,2,0,0
7.38,77,61,66,4,5,0,1
5.08,52,29,39,0,0,0,0
6.14,29,74,48,2,4,1,1
9.79,82,95,80,10,6,1,1
7.68,66,43,51,8,3,1,0
7.62,73,28,51,7,3,1,1
7.61,60,32,44,7,4,1,1
8.4,99,78,85,10,6,0,1
9.33,89,86,100,10,6,1,1
7.44,92,77,93,8,7,0,1
5.59,39,50,37,3,2,1,0
6.33,53,55,41,5,3,0,0
5.52,48,59,50,2,3,0,0
6.61,68,68,76,5,2,1,0
9.56,100,68,77,9,6,1,1
5.12,55,40,32,2,3,0,0
9.46,100,80,100,10,4,0,1
7.09,62,49,46,6,1,1,1
9.27,68,75,91,8,5,1,1
8.3,79,59,70,8,3,1,1
5.79,25,62,43,2,4,0,0
8.71,71,60,51,7,4,1,1
5.71,70,34,37,6,1,1,0
6.21,36,41,50,1,4,0,0
5.61,31,51,58,1,4,0,0
6.55,73,51,57,4,4,1,1
8.89,87,94,68,9,8,1,1
5.05,25,25,25,1,0,0,0
6.42,70,73,79,6,5,0,1
9.76,70,77,77,8,5,1,1
6.79,65,43,39,5,2,0,0
7.09,82,55,62,7,3,0,0
7.56,76,58,62,6,4,0,1
9.33,99,79,98,7,7,1,1
9.37,69,71,76,10,6,1,1
8.96,91,100,90,7,6,1,1
8.45,58,58,52,7,5,1,1
5.32,42,76,56,2,4,0,1
9.45,94,82,90,9,5,1,1
5.37,39,50,37,2,1,1,1
6.15,47,40,48,3,3,0,0
7.45,78,70,77,4,6,0,1
6.24,57,40,51,4,3,0,0
5.68,39,45,34,1,1,0,0
5.48,37,70,44,2,3,0,0
7.06,62,69,67,6,3,1,0
5.84,61,32,47,3,2,0,0
7.41,82,86,85,7,4,1,1
7.99,67,92,75,6,5,1,1
8.12,82,97,88,7,5,0,1
7.78,71,71,74,7,2,1,0
6.94,57,43,54,7,4,1,1
5.36,56,78,58,2,2,1,0
8.57,85,60,87,7,6,1,1
5.53,63,53,65,3,3,0,0
7.86,89,58,84,6,6,1,1
6.32,45,49,53,4,2,0,0
5.14,42,25,25,2,0,0,0
5.07,25,34,25,1,2,0,0
7.66,47,58,54,4,4,1,0
7.64,69,65,40,6,3,0,1
6.49,63,56,54,6,2,1,0
